;stationId;stationName;address;city;zip_code;total_places;free_places;enabled;reserved_places;geometry.type;geometry.coordinates
0;74;Bicipark Fuente de la Mora;Estación de Fuente de la Mora; Madrid;28050;10;9;1;0;Point;[-3.6630679, 40.4846838]
1;22;Bicipark Orense;Avenida General Perón, 27;Madrid;28020;15;9;1;1;Point;[-3.693897, 40.452973]
2;49;Bicipark Montalban;Calle de Montalbán, 5;Madrid;28014;16;15;1;0;Point;[-3.690786, 40.418146]
3;12;Bicipark Almagro;Calle Almagro, 11;Madrid;28010;16;12;1;0;Point;[-3.692879, 40.430361]
4;9;Bicipark Recoletos;Paseo de Recoletos, 2;Madrid;28001;10;3;0;0;Point;[-3.692245, 40.420354]
5;5;Bicipark Recuerdo;Calle Hiedra, 26;Madrid;28036;13;13;1;0;Point;[-3.678921, 40.472419]
6;25;Bicipark Salamanca;Pl. del Marqués de Salamanca;Madrid;28006;5;-1;1;0;Point;[-3.679172, 40.430315]
7;67;Bicipark Villa de Paris;Calle de Orellana, 23, 21;Madrid;28004;10;8;1;1;Point;[-3.693698, 40.425608]
8;1154;Bicipark Pitis;Calle Pau Arroyo del Fresno, 181;Madrid;28049;10;7;1;0;Point;[-3.7249142, 40.4959425]
9;1169;Bicipark Aviación;Parking Aviación Española;Madrid;28024;10;10;1;0;Point;[-3.78369522, 40.383491516]
10;1238;Bicipark Canalejas;-;Madrid;-;10;10;1;0;Point;[-3.6994506, 40.417807676]
