Place of interest,Type of place,Place address,BiciMAD station,Station location,Available bikes,Available docks,distance
A las víctimas del Holocausto,Monument,JARDIN TRES CULTURAS ,"Avda del Partenon, 16","564 - Avda del Partenon, 16,",4,19,873.65
A los Abuelos,Monument,C Alicún ,"Calle de Bacares, 20","Calle de Bacares, 20,",7,17,349.7
A Neruda-El Ser alado,Monument,Gta José Luis Ozores 116,"433 -Calle de Villalobos, 28","Calle de Villalobos, 28,",4,20,142.94
Abogados Laboristas,Monument,C Atocha 55,Antón Martín,"Calle Atocha nº 54,",13,6,109.52
Abstracta I,Monument, ,Quinta Fuente del Berro,"Calle Sancho Dávila esquina Paseo Marqués de Zafra,",15,9,376.75
Abstracta II,Monument, ,Quinta Fuente del Berro,"Calle Sancho Dávila esquina Paseo Marqués de Zafra,",15,9,352.56
Abundancia,Monument,CALLE GUZMAN EL BUENO 137,Reina Victoria,"Calle Beatriz de Bobadilla frente al nº 2,",7,16,260.81
Academia de Farmacia,Monument,C Farmacia 9,Colegio Arquitectos,"Calle Hortaleza nº 63,",14,5,109.53
Acueducto y rejas sobre el arroyo del Barranco de la Zorra,Monument,CAMINO HUMERA ,"Carretera del ZOO, s/n (M. Casa Campo)","Carretera del ZOO, s/n (M. Casa Campo),",3,24,1786.71
Ad Iesum per Mariam,Monument,AVENIDA MACHUPICHU 1,"Avenida de Machupichu, 23","Avenida de Machupichu, 23,",21,6,381.24
Adelardo Ortiz de Pinedo,Monument,C Francisco y Jacinto Alcántara 1,Pintor Rosales,"Paseo del Pintor Rosales frente al nº 38,",7,17,336.72
Adhesión de España a la Comunidad Europea,Monument,PLAZA PROVINCIA 1,Conde de Romanones,"Plaza del Conde de Romanones nº 9,",15,3,138.04
"Agricultor, agricultura y progreso",Monument,PASEO CASTELLANA 101,General Perón con Poeta Joan Maragall,"Avenida del General Perón frente al nº 36,",2,21,246.8
"Agricultor, agricultura y progreso",Monument,Avda Complutense ,Ciudad Universitaria 2,"Avenida de la Complutense (Metro Ciudad Universitaria),",6,13,237.17
"Agricultor, agricultura y progreso",Monument,C Principal de Provincias ,"Calle Francisco de Tejada, 1","Calle Francisco de Tejada, 1,",6,18,352.14
Agustín Argüelles,Monument,Pza Marqués de Cerralbo ,Ferraz,"Calle Evaristo San Miguel nº 2,",6,16,34.38
