Place of interest,Type of place,Place address,BiciMAD station,Station location,Available bikes,Available docks,distance
A las víctimas del Holocausto,Monument,JARDIN TRES CULTURAS ,"Avda del Partenon, 16","564 - Avda del Partenon, 16,",8,15,873.65
A los Abuelos,Monument,C Alicún ,"Calle de Bacares, 20","Calle de Bacares, 20,",1,23,349.7
A Neruda-El Ser alado,Monument,Gta José Luis Ozores 116,"433 -Calle de Villalobos, 28","Calle de Villalobos, 28,",13,11,142.94
Abogados Laboristas,Monument,C Atocha 55,Antón Martín,"Calle Atocha nº 54,",4,14,109.52
Abstracta I,Monument, ,Quinta Fuente del Berro,"Calle Sancho Dávila esquina Paseo Marqués de Zafra,",3,21,376.75
Abstracta II,Monument, ,Quinta Fuente del Berro,"Calle Sancho Dávila esquina Paseo Marqués de Zafra,",3,21,352.56
Abundancia,Monument,CALLE GUZMAN EL BUENO 137,Reina Victoria,"Calle Beatriz de Bobadilla frente al nº 2,",6,16,260.81
Academia de Farmacia,Monument,C Farmacia 9,Colegio Arquitectos,"Calle Hortaleza nº 63,",4,15,109.53
Acueducto y rejas sobre el arroyo del Barranco de la Zorra,Monument,CAMINO HUMERA ,"Carretera del ZOO, s/n (M. Casa Campo)","Carretera del ZOO, s/n (M. Casa Campo),",11,16,1786.71
Ad Iesum per Mariam,Monument,AVENIDA MACHUPICHU 1,"Avenida de Machupichu, 23","Avenida de Machupichu, 23,",15,12,381.24
Adelardo Ortiz de Pinedo,Monument,C Francisco y Jacinto Alcántara 1,Pintor Rosales,"Paseo del Pintor Rosales frente al nº 38,",3,21,336.72
Adhesión de España a la Comunidad Europea,Monument,PLAZA PROVINCIA 1,Plaza de la Provincia,"Plaza de la Provincia nº 1,",5,13,38.61
"Agricultor, agricultura y progreso",Monument,PASEO CASTELLANA 101,General Perón con Poeta Joan Maragall,"Avenida del General Perón frente al nº 36,",2,21,246.8
"Agricultor, agricultura y progreso",Monument,Avda Complutense ,Ciudad Universitaria 2,"Avenida de la Complutense (Metro Ciudad Universitaria),",4,15,237.17
"Agricultor, agricultura y progreso",Monument,C Principal de Provincias ,"Calle Francisco de Tejada, 1","Calle Francisco de Tejada, 1,",16,8,352.14
Agustín Argüelles,Monument,Pza Marqués de Cerralbo ,Ferraz,"Calle Evaristo San Miguel nº 2,",2,21,34.38
Agustín de Foxá,Monument,C Ibiza 1,"Menéndez Pelayo, entrada Florida Park","Menéndez Pelayo, entrada Florida Park,",5,18,52.62
Agustín Lara,Monument,C Sombrerete 15,Plaza de Nelson Mandela,"Calle Mesón de Paredes nº 35,",10,8,195.2
